_id,isPb,wpm,acc,rawWpm,consistency,charStats,mode,mode2,quoteLength,restartCount,testDuration,afkDuration,incompleteTestSeconds,punctuation,numbers,language,funbox,difficulty,lazyMode,blindMode,bailedOut,tags,timestamp
662ca30651ae38ff2d0f882e,,49.19,92.28,56.19,77.38,246;9;2;4,time,60,-1,0,60.01,0,0,false,false,english,none,normal,false,false,false,,1714201350000
662ca2c451ae38ff2d0f864c,,56.79,90.24,64.79,74.25,71;4;1;0,time,15,-1,0,15,0,0,false,false,english,none,normal,false,false,false,,1714201284000
662ca2af51ae38ff2d0f85b2,,48.4,91.3,54.39,65.59,121;2;6;0,time,30,-1,0,30,1,0,false,false,english,none,normal,false,false,false,,1714201263000
662ca28951ae38ff2d0f847c,,55.18,97.9,56.78,68.57,138;1;0;0,time,30,-1,0,30.01,0,0,false,false,english,none,normal,false,false,false,,1714201225000
662ca26851ae38ff2d0f838a,,56,96.67,59.2,77.49,140;2;0;0,time,30,-1,0,30,0,0,false,false,english,none,normal,false,false,false,,1714201192000
662ca24151ae38ff2d0f8244,,59.99,99.34,59.99,70.32,150;0;0;0,time,30,-1,0,30,0,0,false,false,english,none,normal,false,false,false,,1714201153000
662ca20c51ae38ff2d0f807b,,47.58,93.66,56.78,64.27,119;5;0;1,time,30,-1,0,30.01,1,0,false,false,english,none,normal,false,false,false,,1714201100000
662ca1e951ae38ff2d0f7f49,true,62,98.73,62,77.56,155;0;0;0,time,30,-1,0,30,0,0,false,false,english,none,normal,false,false,false,,1714201065000
662ca1c951ae38ff2d0f7e57,,56.39,98.63,58.38,72.06,141;1;0;0,time,30,-1,0,30.01,0,0,false,false,english,none,normal,false,false,false,,1714201033000
662ca1a151ae38ff2d0f7d0e,,59.99,99.34,59.99,70.77,150;0;0;0,time,30,-1,0,30,0,0,false,false,english,none,normal,false,false,false,,1714200993000
662ca18051ae38ff2d0f7c05,,59.57,98.04,61.17,76.07,149;3;0;0,time,30,-1,0,30.02,0,0,false,false,english,none,normal,false,false,false,,1714200960000
662ca15f51ae38ff2d0f7af3,,56,98.62,57.6,77.28,140;0;0;1,time,30,-1,0,30,0,0,false,false,english,none,normal,false,false,false,,1714200927000
662ca13f51ae38ff2d0f79d1,,54.79,95.89,57.19,73.09,137;2;0;0,time,30,-1,0,30,0,0,false,false,english,none,normal,false,false,false,,1714200895000
662ca11e51ae38ff2d0f78ad,,51.99,97.06,53.19,69.47,130;0;0;1,time,30,-1,0,30,0,0,false,false,english,none,normal,false,false,false,,1714200862000
662ca0fc51ae38ff2d0f77ac,,57.6,99.31,57.6,73.79,144;0;0;0,time,30,-1,0,30,0,0,false,false,english,none,normal,false,false,false,,1714200828000
662bbb0e2dfc811c3aca8f54,,52.39,95.14,57.59,71.34,131;4;0;3,time,30,-1,0,30.01,0,0,false,false,english,none,normal,false,false,false,,1714141966000
662bbaed2dfc811c3aca8d28,,52.37,97.79,53.97,73.45,131;1;0;1,time,30,-1,0,30.02,0,0,false,false,english,none,normal,false,false,false,,1714141933000
662bbacd2dfc811c3aca8b15,,49.58,91.67,57.18,76.93,124;8;0;1,time,30,-1,0,30.01,0,0,false,false,english,none,normal,false,false,false,,1714141901000
662bbaac2dfc811c3aca88de,,56,99.29,56,72.45,140;0;0;0,time,30,-1,0,30,0,0,false,false,english,none,normal,false,false,false,,1714141868000
662bba8a2dfc811c3aca86bb,,57.59,100,57.59,77.56,144;0;0;0,time,30,-1,0,30,0,0,false,false,english,none,normal,false,false,false,,1714141834000
662bb2c82dfc811c3aca0833,,49.59,91.3,54.79,73.91,124;8;1;0,time,30,-1,0,30.01,0,0,false,false,english,none,normal,false,false,false,,1714139848000
662bb2a72dfc811c3aca061e,,55.59,97.24,57.19,73.79,139;1;0;0,time,30,-1,0,30,0,0,false,false,english,none,normal,false,false,false,,1714139815000
662bb2822dfc811c3aca03b4,,45.59,92.59,52.79,67.67,114;5;1;0,time,30,-1,0,30.01,0,0,false,false,english,none,normal,false,false,false,,1714139778000
662bb2612dfc811c3aca01bd,,46.79,90.23,52.38,74.83,117;5;3;1,time,30,-1,0,30.01,0,0,false,false,english,none,normal,false,false,false,,1714139745000
662bb23a2dfc811c3ac9ff61,,48.8,95.62,54.8,72.49,122;4;0;0,time,30,-1,0,30,0,0,false,false,english,none,normal,false,false,false,,1714139706000
662bb2162dfc811c3ac9fcfd,,47.59,95.38,51.59,59.47,119;3;0;0,time,30,-1,0,30,1,0,false,false,english,none,normal,false,false,false,,1714139670000
662bb1f12dfc811c3ac9fac6,,53.6,96.53,56.8,71.34,134;2;0;0,time,30,-1,0,30,0,0,false,false,english,none,normal,false,false,false,,1714139633000
662bb1c92dfc811c3ac9f822,,54.39,95.89,58.39,75.27,136;4;0;1,time,30,-1,0,30.01,0,0,false,false,english,none,normal,false,false,false,,1714139593000
662bb1a32dfc811c3ac9f5bd,,59.99,98.68,59.99,77.25,150;0;0;0,time,30,-1,0,30.01,0,0,false,false,english,none,normal,false,false,false,,1714139555000
662bb11e2dfc811c3ac9ed55,,58,100,58,73.79,145;0;0;0,time,30,-1,0,30,0,0,false,false,english,none,normal,false,false,false,,1714139422000
662bb0f02dfc811c3ac9ea6e,,46.4,91.6,52.4,70.15,116;8;0;0,time,30,-1,0,30,1,0,false,false,english,none,normal,false,false,false,,1714139376000
662bb0d02dfc811c3ac9e859,,51.58,95,55.97,79.05,129;4;1;0,time,30,-1,0,30.01,0,0,false,false,english,none,normal,false,false,false,,1714139344000
